Year of Date Data,Month of Date Data,Additional Notes,Animals,Astronomical,Availability of Produce,Barometer Transcribed,Birds,Blooming,Conditions Data,Conditions Transcribed,Date Data,Date Transcribed,Dew,Digital Image Name,Exclude,Fahrenheit Temperature Transcribed,Fish/Aquatic,Flood,Fog,Freezing Temperature,Frost,Hail,Harvested,Ice,Insects/Arthropods,Jefferson Notes,Key,Leafing,Lightning,Location Data,Location Transcribed,Losing Leaves,Miscellaneous,Natural Phenomena,Observations,Observer,Planted,Plants,Rain,Reptiles/Amphibians,Seasonal,Sleet,Snow,Sunshine,Thunder,Time Data,Time Transcribed,Trees/Shrubs,Weather Events,Wind Direction Data,Wind Direction Transcribed,Barometer Data,Daily Reading Number,Fahrenheit Temperature Data,Hygrometer (De Luc),Hygrometer (Saussure),PTJ Access No.,Snow Depth,,,,,,,,,,
1803,April,,,,,,,,,,4/10/1803,10,,5810_weather_002,,39,,,,,,,,,,,MHi_41888_14_82,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,39,,,41888.14,,,,,,,,,,
1803,April,,,,,,,,,,4/11/1803,11,,5810_weather_002,,51,,,,,,,,,,,MHi_41888_14_84,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,51,,,41888.14,,,,,,,,,,
1803,April,,,,,,,,,,4/12/1803,12,,5810_weather_002,,58,,,,,,,,,,,MHi_41888_14_86,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,58,,,41888.14,,,,,,,,,,
1803,April,,,,,,,,,,4/13/1803,13,,5810_weather_002,,58,,,,,,,,,,,MHi_41888_14_88,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,58,,,41888.14,,,,,,,,,,
1803,April,,,,,,,,,,4/14/1803,14,,5810_weather_002,,58,,,,,,,,,,,MHi_41888_14_90,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,58,,,41888.14,,,,,,,,,,
1803,April,,,,,,,,,,4/15/1803,15,,5810_weather_002,,65,,,,,,,,,,,MHi_41888_14_92,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,65,,,41888.14,,,,,,,,,,
1803,April,,,,,,,,,,4/16/1803,16,,5810_weather_002,,40,,,,,,,,,,,MHi_41888_14_94,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,40,,,41888.14,,,,,,,,,,
1803,April,,,,,,,,,,4/18/1803,18,,5810_weather_002,,40,,,,,,,,,,,MHi_41888_14_99,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,40,,,41888.14,,,,,,,,,,
1803,April,,,,,,,,,,4/19/1803,19,,5810_weather_002,,41,,,,,,,,,,,MHi_41888_14_101,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,41,,,41888.14,,,,,,,,,,
1803,April,,,,,,,,,,4/20/1803,20,,5810_weather_002,,46,,,,,,,,,,,MHi_41888_14_103,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,46,,,41888.14,,,,,,,,,,
1803,April,,,,,,,,,,4/21/1803,21,,5810_weather_002,,49,,,,,,,,,,,MHi_41888_14_105,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,49,,,41888.14,,,,,,,,,,
1803,April,,,,,,,,,,4/22/1803,22,,5810_weather_002,,49,,,,,,,,,,,MHi_41888_14_107,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,49,,,41888.14,,,,,,,,,,
1803,April,,,,,,,,,,4/23/1803,23,,5810_weather_002,,49,,,,,,,,,,,MHi_41888_14_109,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,49,,,41888.14,,,,,,,,,,
1803,April,,,,,,,,,,4/24/1803,24,,5810_weather_002,,59,,,,,,,,,,,MHi_41888_14_111,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,59,,,41888.14,,,,,,,,,,
1803,April,,,,,,,,,,4/25/1803,25,,5810_weather_002,,53,,,,,,,,,,,MHi_41888_14_113,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,53,,,41888.14,,,,,,,,,,
1803,April,,,,,,,,,,4/26/1803,26,,5810_weather_002,,41,,,,,,,,,,,MHi_41888_14_115,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,41,,,41888.14,,,,,,,,,,
1803,April,,,,,,,,,,4/27/1803,27,,5810_weather_002,,47,,,,,,,,,,,MHi_41888_14_117,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,47,,,41888.14,,,,,,,,,,
1803,April,,,,,,,,,,4/28/1803,28,,5810_weather_002,,51,,,,,,,,,,,MHi_41888_14_119,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,51,,,41888.14,,,,,,,,,,
1803,April,,,,,,,,,,4/29/1803,29,,5810_weather_002,,56,,,,,,,,,,,MHi_41888_14_121,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,56,,,41888.14,,,,,,,,,,
1803,April,,,,,,,,,,4/30/1803,30,,5810_weather_002,,59,,,,,,,,,,,MHi_41888_14_123,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,59,,,41888.14,,,,,,,,,,
1803,May,,,,,,,,,,5/1/1803,1803. May 1,,5810_weather_003,,62,,,,,,,,,,,MHi_41888_14_125,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,?rise,,,,,,1,62,,,41888.14,,,,,,,,,,
1803,May,,,,,,,,,,5/2/1803,2,,5810_weather_003,,57,,,,,,,,,,,MHi_41888_14_127,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,57,,,41888.14,,,,,,,,,,
1803,May,,,,,,,,,,5/3/1803,3,,5810_weather_003,,43 1/2,,,,,,,,,,,MHi_41888_14_129,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,43.5,,,41888.14,,,,,,,,,,
1803,May,,,,,,,,,,5/5/1803,5,,5810_weather_003,,51,,,,,,,,,,,MHi_41888_14_133,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,51,,,41888.14,,,,,,,,,,
